,sequence,probability,state
194,Ti/DC/B-/B2/SF/LM/RB,0.0,n
195,Ti/DC/B-/X,0.0,n
196,Ti/DC/B-/X/RV,0.0,n
197,Ti/DC/B-/X/RV/NC/RB,0.0,n
198,Ti/DC/B-/X/RV/NC,0.0,n
199,Ti/DC/B-/X/RV/NC/LM,0.0,n
200,Ti/DC/B-/X/RV/NC/LM/RB,0.0,n
201,Ti/DC/B-/X/V1,6.12892e-10,ok
202,Ti/DC/B-/X/V1/RV/OE,1.3483624e-10,n
203,Ti/DC/B-/X/V1/RV/OE/RB,3.370906e-11,n
204,Ti/DC/B-/X/V1/RV/NC,6.334606555199999e-11,n
205,Ti/DC/B-/X/V1/RV/NC/RB,1.5836516387999996e-11,n
206,Ti/DC/B-/X/V1/RV/NC/V2,0.0,n
207,Ti/DC/B-/X/V1/RV/NC/V2/OL/RB,1.5996481199999997e-13,n
208,Ti/DC/B-/X/V1/RV/NC/V2/OL,6.398592479999999e-13,n
209,Ti/DC/B-/X/V1/RV/NC/LM,6.398592479999999e-11,n
210,Ti/DC/B-/X/V1/RV/NC/LM/RB,1.5996481199999998e-11,n
211,Ti/DC/B-/X/V1/RV,2.8438188799999996e-10,n
212,Ti/DC/B-/V1,6.12279108e-07,ok
213,Ti/DC/B-/V1/RV/NC/V2/OL/RB,2.2042047888e-10,n
214,Ti/DC/B-/V1/RV/NC/V2/OL,8.8168191552e-10,n
215,Ti/DC/B-/V1/RV/NC/V2,0.0,n
216,Ti/DC/B-/V1/RV/NC,8.728650963648e-08,n
217,Ti/DC/B-/V1/RV/NC/RB,2.182162740912e-08,n
218,Ti/DC/B-/V1/RV/NC/LM,8.8168191552e-08,n
219,Ti/DC/B-/V1/RV/NC/LM/RB,2.2042047888e-08,n
220,Ti/DC/B-/V1/RV,3.9185862911999997e-07,n
221,Ti/DC/B-/RV,0.0,n
222,Ti/DC/B-/RV/NC/LM,0.0,n
223,Ti/DC/B-/RV/NC/LM/RB,0.0,n
224,Ti/DC/B-/RV/NC,0.0,n
225,Ti/DC/B-/RV/NC/RB,0.0,n
226,Ti/DC/B-,0.0,n
227,Ti/DC,2.1624000000000003e-06,ok
