,sequence,probability,state,Ti/BO/U,Ti/BO/U cd,Ti/DC,Ti/DC cd,,,,,,Ti/BO/U split fraction,,
195,Ti/DC/B-/X,0,n,0,0,0,0,,,,,,,,
196,Ti/DC/B-/X/RV,0,n,0,0,0,0,,,,,,,,
197,Ti/DC/B-/X/RV/NC/RB,0,n,0,0,0,0,,,,,,,,
198,Ti/DC/B-/X/RV/NC,0,n,0,0,0,0,,,,,,,,
199,Ti/DC/B-/X/RV/NC/LM,0,n,0,0,0,0,,,,,,,,
200,Ti/DC/B-/X/RV/NC/LM/RB,0,n,0,0,0,0,,,,,,,,
201,Ti/DC/B-/X/V1,6.12892E-10,ok,0,0,6.12892E-10,0,,,,,,,,
202,Ti/DC/B-/X/V1/RV/OE,1.3483624E-10,n,0,0,1.3483624E-10,1.3483624E-10,,,,,,,,
203,Ti/DC/B-/X/V1/RV/OE/RB,3.370906E-11,n,0,0,3.370906E-11,3.370906E-11,,,,,,,,
204,Ti/DC/B-/X/V1/RV/NC,6.3346065552E-11,n,0,0,6.3346065552E-11,6.3346065552E-11,,,,,,,,
205,Ti/DC/B-/X/V1/RV/NC/RB,1.5836516388E-11,n,0,0,1.5836516388E-11,1.5836516388E-11,,,,,,,,
206,Ti/DC/B-/X/V1/RV/NC/V2,0,n,0,0,0,0,,,,,,,,
207,Ti/DC/B-/X/V1/RV/NC/V2/OL/RB,1.59964812E-13,n,0,0,1.59964812E-13,1.59964812E-13,,,,,,,,
208,Ti/DC/B-/X/V1/RV/NC/V2/OL,6.39859248E-13,n,0,0,6.39859248E-13,6.39859248E-13,,,,,,,,
209,Ti/DC/B-/X/V1/RV/NC/LM,6.39859248E-11,n,0,0,6.39859248E-11,6.39859248E-11,,,,,,,,
210,Ti/DC/B-/X/V1/RV/NC/LM/RB,1.59964812E-11,n,0,0,1.59964812E-11,1.59964812E-11,,,,,,,,
211,Ti/DC/B-/X/V1/RV,2.84381888E-10,n,0,0,2.84381888E-10,2.84381888E-10,,,,,,,,
212,Ti/DC/B-/V1,6.12279108E-07,ok,0,0,6.12279108E-07,0,,,,,,,,
213,Ti/DC/B-/V1/RV/NC/V2/OL/RB,2.2042047888E-10,n,0,0,2.2042047888E-10,2.2042047888E-10,,,,,,,,
214,Ti/DC/B-/V1/RV/NC/V2/OL,8.8168191552E-10,n,0,0,8.8168191552E-10,8.8168191552E-10,,,,,,,,
215,Ti/DC/B-/V1/RV/NC/V2,0,n,0,0,0,0,,,,,,,,
216,Ti/DC/B-/V1/RV/NC,8.728650963648E-08,n,0,0,8.728650963648E-08,8.728650963648E-08,,,,,,,,
217,Ti/DC/B-/V1/RV/NC/RB,2.182162740912E-08,n,0,0,2.182162740912E-08,2.182162740912E-08,,,,,,,,
218,Ti/DC/B-/V1/RV/NC/LM,8.8168191552E-08,n,0,0,8.8168191552E-08,8.8168191552E-08,,,,,,,,
219,Ti/DC/B-/V1/RV/NC/LM/RB,2.2042047888E-08,n,0,0,2.2042047888E-08,2.2042047888E-08,,,,,,,,
220,Ti/DC/B-/V1/RV,3.9185862912E-07,n,0,0,3.9185862912E-07,3.9185862912E-07,,,,,,,,
221,Ti/DC/B-/RV,0,n,0,0,0,0,,,,,,,,
222,Ti/DC/B-/RV/NC/LM,0,n,0,0,0,0,,,,,,,,
223,Ti/DC/B-/RV/NC/LM/RB,0,n,0,0,0,0,,,,,,,,
224,Ti/DC/B-/RV/NC,0,n,0,0,0,0,,,,,,,,
225,Ti/DC/B-/RV/NC/RB,0,n,0,0,0,0,,,,,,,,
226,Ti/DC/B-,0,n,0,0,0,0,,,,,,,,
227,Ti/DC,2.1624E-06,ok,0,0,2.1624E-06,0,,,,,,,,
